Euronics
Savanorių pr. 321, Klaipėda
867965498
Fridge;GE;GNE25JSKSS;A+;Stainless Steel;2100.00;510;Freestanding;Yes;175;70;67;
Fridge;Bosch;KGV39VW31;A++;White;1700.00;340;Freestanding;Yes;201;60;65;
Fridge;Liebherr;CNel 4313;A++;Silver;1950.00;310;Freestanding;No;185;60;63;
Fridge;LG;GBB72PZEFN;A+++;Graphite;2200.00;384;Freestanding;Yes;203;60;68;
Fridge;Samsung;RT38K5030S8;A+;Silver;1500.00;375;Freestanding;Yes;178;67;66;
Oven;Electrolux;EOF5C70X;A;Stainless Steel;950.00;3500;7;
Oven;Siemens;HB578G0S00;A+;Silver;1200.00;3600;15;
Oven;Samsung;NV70K1340BS/EU;A;Black;800.00;3450;6;
Oven;Whirlpool;AKZ96290IX;A++;Stainless Steel;1000.00;3400;16;
Oven;Beko;BIE22300X;A;Stainless Steel;650.00;3200;8;
Kettle;KitchenAid;5KEK1222;A;Red;65.00;1500;1.25;
Kettle;Smeg;KLF03PBUK;A;Blue;70.00;2400;1.7;
Kettle;Hamilton Beach;40998;A;Stainless Steel;45.00;1500;1.0;
Kettle;Kenwood;ZJP05.A0GY;A;Grey;50.00;2200;1.7;
Kettle;Russell Hobbs;20415;A;Black;55.00;2400;1.7;
