Euronics
Mindaugo g. 11, Vilnius
867745032
Fridge;Haier;HRF-521DS6;A+;Silver;1850.00;500;Freestanding;Yes;192;90;70;
Fridge;Indesit;LI8 S2E X;A++;Inox;1600.00;375;Freestanding;No;189;60;68;
Fridge;Miele;KFN 29142 D;A++;White;2200.00;390;Freestanding;Yes;201;60;66;
Fridge;Hisense;RB412N4AF1;A+;Black;1099.00;350;Freestanding;Yes;185;60;55;
Fridge;Electrolux;EN3481AOX;A+;Silver;1700.00;380;Freestanding;Yes;200;60;60;
Oven;Zanussi;ZOP37982XK;A+;Stainless Steel;850.00;3200;9;
Oven;Beko;BIM24300BS;A;Black;700.00;3400;8;
Oven;Candy;FCXP615X;A+;Stainless Steel;650.00;3300;10;
Oven;Hotpoint;SI6864SHIX;A+;Stainless Steel;780.00;3650;13;
Oven;Samsung;NV75N5641RS;A;Dual Cook;1100.00;3500;7;
Kettle;Tefal;KO3308;A;Black;50.00;2400;1.5;
Kettle;Morphy Richards;102033;A;White;55.00;2200;1.7;
Kettle;De'Longhi;KBOV2001.BG;A;Beige;60.00;2000;1.5;
Kettle;Bosch;TWK7805;A;Grey;40.00;3100;1.7;
Kettle;Russell Hobbs;23912;A;Silver;45.00;2400;1.7;
