Euronics
Žirmūnų g. 64, Šiauliai
867850940
Fridge;LG;GSX961NSVZ;A++;Black;2600.00;601;Freestanding;Yes;179;91;74;
Fridge;Samsung;RB38T602DSA;A++;Graphite;1700.00;385;Built-in;No;203;59;65;
Fridge;Fisher & Paykel;RF522ADX5;A+;Stainless Steel;2300.00;475;Freestanding;Yes;172;79;70;
Fridge;Beko;RCNE560E40ZXBN;A+++;Inox;1900.00;505;Freestanding;Yes;192;70;68;
Fridge;AEG;RMB76121NX;A+;Stainless Steel;2500.00;560;Freestanding;Yes;177;91;73;
Oven;Whirlpool;AKZ96270IX;A++;Stainless Steel;700.00;3650;16;
Oven;AEG;BPE556320M;A+;Stainless Steel;1150.00;3500;10;
Oven;Bosch;HBA534BS0B;A;Black;900.00;3600;8;
Oven;Zanussi;ZOP37982XU;A++;Stainless Steel;850.00;3200;10;
Oven;Neff;B3ACE4HN0B;A;Stainless Steel;1000.00;3400;12;
Kettle;Russell Hobbs;20412;A;Silver;35.00;2400;1.7;
Kettle;Breville;VKJ956;A;Stainless Steel;45.00;3000;1.7;
Kettle;Panasonic;NC-GK1;A;White;55.00;2200;1.7;
Kettle;Morphy Richards;108262;A;Cream;50.00;3000;1.5;
Kettle;Braun;WK500;A;Black;60.00;3000;1.7;
